,slug,description
465,raspberry-kush,"Dynasty Genetics created Starduster as a combination of Sour Diesel and its proprietary Ms. Universe strain. The top reported aromas of the Starduster cultivar are pineapple, hash, and caramel. It is said to taste of berries, tropical fruit, and earthy musk. Starduster is a sativa-dominant hybrid with sprawling plants that grow up to 10 feet tall. The strain thrives in indoor and outdoor climates thanks to its pest- and mold-resistant qualities cultivated by the original growers. Starduster flowers in 60 to 70 days indoors and in mid-October outside. In ideal conditions, Starduster produces heavy yields of light-green nugs. Starduster is unavailable as seeds or clones."
466,starduster,"An indica-dominant hybrid, SnowLAnd is a cross between Snowcap and L.A. Confidential from DNA Genetics in Amsterdam. DNA Genetics utilized L.A. Confidential to help tame the overly tall plants of Snowcap to produce high-yield plant with a flowering time of 60-70 days. SnowLAnd is suitable for indoor or outdoor growing."
467,snowland,"Blue Crack is a cultivar of mysterious origins, thought to be a combination of Blue Dream and Green Crack. The top reported aromas of Blue Crack include sweet, earthy berries, while its flavor palate includes hints of spice and sugar amidst ripe berries. Blue Crack leans towards its sativa side, preferring to grow in an outdoor environment with plenty of sunlight and room to stretch. Blue Crack is a challenging strain for new growers, but provides yields of up to 16 ounces when cultivated in ideal conditions. The plant reaches full maturity in approximately ten weeks. Blue Crack seeds and clones are not available."
468,blue-crack,"Barney's Farm crossed Afghan with Skunk #1 and Old School Haze to create its version of Pineapple Haze. However, online sources suggest there's another version of Pineapple Haze bred from Pineapple crossed with Haze. Both varieties of the strain are known for piney, pineapple aromas, their matching flavors, and cerebral highs. Barney's Farm's Pineapple Haze is a good choice for beginner cultivators thanks to its mold and disease resistance. The strain reaches full maturity in 65-70 days indoors or mid-October outdoors. Pineapple Haze, in optimal outdoor settings, is known to produce more than three pounds per plant."
469,pineapple-haze,"Green Devil Genetics created the delightful Orange Kush in the early 1990s from a combination of Orange Bud with OG Kush. Orange Kush inherits many traits from its OG Kush paternal line and is reported to sedate users with a more refreshing citrus flavor, thanks to its mother’s terpene profile. Indica lovers with an experienced green thumb can produce immense yields from Orange Kush, which can grow up to 10 feet, or 3 meters, tall when cultivated outdoors. Orange Kush thrives in Mediterranean climates with lower humidity and reaches full bloom in eight to nine weeks. Orange Kush won the second place prize at the 1994 High Times Cannabis Cup."
470,orange-kush,"Two versions of Six Shooter currently exist in the cannabis market. Fast Buds Company created its Six Shooter as a combination of their proprietary Crystal Meth and Mexican Airlines strains, both descended from landraces. Its top reported flavors are herbs, citrus, and hashy pepper. Its flavors are said to be peppery, herbal, and sour. Royal Dutch Genetics' version is a mix of Haze, Northern Lights, Trainwreck, and Super Skunk. The top reported aromas of the Six Shooter are fruit, fermented berries, and pepper, while it is said to taste like flowers and berries. Little growing information is available on Royal Dutch Genetics' version of Six Shooter. Fast Buds Company's Six Shooter is an indica-leaning hybrid that develops into squat, stout bushes. The strain flowers in nine weeks indoors and in early October outdoors, preferring moderate daytime temperatures. Fast Buds Company's Six Shooter is available as seeds and clones."
471,six-shooter,"Golden Panda is a cultivar of mysterious origins, thought to be a combination of Golden Pineapple with Golden Nugget. The cultivar reportedly inherits the aromas of its Golden Pineapple lineage, with tropical, vanilla, and pineapple notes mixed with fresh coffee. The flavors are also tropical, with a sweet, sharp fruit palate blended with dark mocha. Little cultivation information is available on Golden Panda. It is thought to be more sativa in structure, growing to tall heights and preferring outdoor gardens where it can soak up sunlight. Golden Panda's tall, lean structure would also make it a good candidate for the ScROG method. The strain most likely takes longer to flower as a sativa-leaning hybrid, in 10-12 weeks indoors or in late October outside. Golden Panda is unavailable as seeds or clones."
472,golden-panda,"Key Lime Pie is a phenotype of GSC (formerly Girl Scout Cookies) with two reported points of origin — Purple Caper Seeds and Burning Bush Nurseries, both located in California. Key Lime Pie from Burning Bush Nurseries is a phenotype of GSC with a unique candy-and-spice flavor. The iteration from Purple Caper Seeds is also said to have an aroma reminiscent of mint and lime, producing a relaxing and euphoric state upon consumption. According to Burning Bush Nurseries, the strain produces medium-sized, heavily resinous, purple-tinted buds in a 63-70 day flowering period. The breeder says Key Lime Pie tends to produce “strong Indica-like effects,” and gives off hints of cotton candy, chocolate, and spice. Key Lime Pie from Purple Caper Seeds is reportedly a phenotype of a GSC clone from Santa Cruz, California, that the breeder has backcrossed with a GSC F2 male to create regular seeds. The strain is reported to grow medium-to-large buds that are dense and resinous in a 56-63 day flowering period, producing THC levels that range between 20% to 22%. Key Lime Pie is also easy to grow, adaptable to indoor and outdoor environments, and particularly responsive to hydroponics."
473,key-lime-pie,"Tres Dawg by Top Dawg Seeds was first bred on the East Coast by JJ Edwards, aka JJ NYC, in the early 2000s and is considered an Indica-dominant hybrid. The strain was initially propagated when Edwards crossed a female Chemdawg with a male Afghani #1. The resulting plant was backcrossed twice to produce Tres Dawg. Tested by Analytical 360 in 2014, Tres Dawg was found to have 16.97% THC and 0.24% CBD. The strain’s dominant terpene was linalool, and, according to the test results, Tres Dawg had a total terpene content of 3.31%. Tres Dawg seeds are difficult to find online, so potential cultivators will need to find certified clones in order to propagate this strain."
474,tres-dawg,"Dutch seed bank Serious Seeds hasn’t revealed the lineage of Kali Mist, but it reports the strain is an “almost pure Sativa” F1 hybrid. According to Serious Seeds, Kali Mist has collected upwards of 14 awards, including 1st Hydro at the High Times Cannabis Cup in 1995, 1st Sativa at High Times Cannabis Cup in 2000 and 1st Hash at the 2012 Cannabis Champions Cup in Spain. According to Serious Seeds, the strain is an effective mood enhancer, and may also alleviate chronic pain, backaches and menstrual cramps. Serious Seeds carries both regular and feminized Kali Mist seeds. The breeder said Kali Mist grows both indoors and outdoors with minimal leaves, allowing light to permeate the branches and encourage high yields of dense, spicy-scented, resinous flower clusters in a 70-90 day flowering period."
475,kali-mist,"Sour Flower is a cultivar of mysterious origins, thought by sources online to be a combination of Super Silver Haze and an unknown, potent second parent. The top reported aromas of the Sour Flower strain are sour fruit, skunk, citrus, and florals. It is said to taste like berries, wood, and tart fruit. Sour Flower is an easy-going hybrid strain, developing short and squat plants with plentiful foliage. The strain thrives in both indoor and outdoor settings, preferring semi-humid climates with warm daytime temperatures. Sour Flower may require occasional pruning to encourage adequate light exposure and airflow in lower branches. The Sour Flower strain reaches maturity in nine to ten weeks indoors and mid-October outdoors. Sour Flower is available as clones only."
476,sour-flower,"Lemon Cake by Heavyweight Seeds One version of Lemon Cake was created by Heavyweight Seeds, which crossed Lemon Skunk and Cheese to create this potent, indica-leaning strain. Lemon Cake has a citrusy, earthy flavor profile and THC levels reaching up to 23%. Lemon Cake by Moxie Seeds This particular variety of Lemon Cake, created by Moxie Seeds, is a cross between its own Lemon OG and TGA Subcool’s Jesus OG. Lemon Cake has a strong citrus scent and an earthy, sweet, spicy flavor profile, according to the cannabis seed bank Seedsman. Lemon Cake by Heavyweight Seeds Lemon Cake is suitable for both indoor and outdoor growing conditions, reaching a height of 80 to 140 centimeters, or 2.6 to 4.6 feet, indoors and 1.2 to 1.8 meters, or 4 to 6 feet, grown outdoors. An indoor-grown plant can yield between 600 to 700 grams per square meter following a nine-to-ten-week flowering cycle. When grown outdoors, Lemon Cake can produce up to 800 grams per plant outdoors, and should be harvested around mid-October in the Northern Hemisphere. This strain sprouts enormous, crystal-laden colas that are so heavy, Heavyweight Seeds recommends adding extra support to keep the plant upright. Lemon Cake by Moxie Seeds The sativa-dominant strain is easy to grow indoors or outdoors, producing large bushels of light green buds following an eight-to-nine week flowering period. With this version of Lemon Cake, growers should expect decent yields of more than 500 grams per square meter, along with THC percentages that waver between the low-to-mid 20% range."
477,lemon-cake,"Pink Panther boasts genetics nearly as elusive as its namesake pink feline. Some online sources hypothesize that it is a phenotype of the Pink Plant strain. True to its name, Pink Panther boasts a sweet, fruity smell of grapefruit layered with diesel and pine. Pink Panther reaches full maturity in eight-to-ten weeks indoors or mid-October when grown outdoors. The plants can grow up to 10 feet tall outdoors. Some odor-control measures may be necessary regardless of grow setting."
478,pink-panther,"Tutti Frutti is a balanced hybrid from breeders Flash Seeds in Spain. Its genetics include Blue Haze, Green Haze, Sour Diesel, Thai, and Lowryder. The top reported aromas of the Tutti Frutti strain are sweet fruit, fuel, and candy. And it is said to taste like sour tropical berries. Tutti Frutti is a balanced-hybrid strain that’s a cross of Blue Haze, Green Haze, Sour Diesel, Thai, and Lowryder. Tutti Frutti produces tall plants with slender leaves. Tutti Frutti has an average flowering time between 56 and 63 days and is known to produce medium yields in ideal conditions. The Tutti Frutti strain is best grown outdoors. Tutti Frutti is available as seeds."
479,tutti-frutti,"Amsterdam-based Dutch Passion created the Voodoo strain as a refined backcross of a Thai landrace cultivar. The top reported aromas of Voodoo are spice, hash, and herbs. It is said to taste of pepper, citrus, and fresh herbs. As a landrace backcross, Voodoo’s stable genetics make it a hardy plant perfect for beginning cultivators. The strain grows tall with long, thin fan leaves; it requires height management when grown indoors. Voodoo prefers outdoor gardens with plenty of sunshine and semi-humid climates. The strain flowers in 56 to 63 days indoors and by early October when grown outside. Voodoo is available as seeds and clones may be available directly from cultivators growing this strain."
480,voodoo,"Jack Flash was created by the cannabis breeder Sensi Seeds, which set out to improve on the legendary Jack Herer by creating a hybrid that combined these powerful genes with the highly sought-after growing attributes of a Skunk. In this case, the breeder mixed Jack Herer female with Sensi’s Super Skunk and Haze to produce trichome-rich buds, high THC, and low CBD, according to Amsterdam Seed Center. The strain won third place for Best Cannabis in the 2004 High Times’ Cannabis Cup in Amsterdam. Jack Flash is reportedly easy to grow, vigorously growing swollen calyxes that are stacked upon one another and heavily coated in resin in an eight-to-nine-week flowering cycle. According to Sensi Seeds, Jack Flash produces a very large yields when grown indoors or in a warm, sunny outdoor environment. The strain reportedly has two phenotypes. The indica is short and compact enough to be compatible with the Sea of Green (SOG) cultivation technique. The sativa phenotype is preferred by the breeder as it grows up to 1 meter, or 3.3 feet, or taller carrying many of the Skunk and Haze attributes, including strong fragrance, copious amounts of resin, and a more sizable overall yield."
481,jack-flash,"Orange Wreck is a cultivar of unconfirmed origins thought to be a combination of Trainwreck and Allagash. The top reported aromas of the Orange Wreck strain are citrus, herbs, and skunk. It is said to taste of oranges, skunk, and spices. We are still on the hunt for information about this strain. Got a hot tip? Email us at strains@weedmaps.com. Orange Wreck is unavailable as seeds or clones."
482,orange-wreck,"Purple Headband is a cultivar with mysterious genetics. Some online sources believe it's a cross of Headband with a mysterious purple strain, while others claim it's Master Kush, Sour Diesel, OG Kush, and a fourth purple mystery flower. Regardless of its origin, Purple Headband features a distinct pine flavor with a pleasant earthy aftertaste. Sources suggest its THC content ranges from 21-28%, so Purple Headband may be best left for experienced consumers. Purple Headband appreciates an outdoor environment where it can flourish without the confines of an indoor growing space. A strong, sturdy plant with thick branches, it requires extra pruning and sometimes benefits from SOG (Sea of Green) or ScrOG (Screen of Green) methods. The cultivar reaches full maturity in 8-10 weeks indoors and late October outside."
483,purple-headband,"Fruit Loops is a strain of unknown origins, thought by online sources to be a four-way cross of Blue Dream, Blueberry, Grapefruit, and White Widow. It tastes sweet and spicy with an earthy, tropical aroma. Fruit Loops grows short and bushy with dense bud structure. Though it grows well anywhere, outdoor sunlight produces hardy plants with better yields that reach maturity in late September to late October. Indoors, the strain flowers in seven-to-10 weeks and thrives with Sea of Green (SOG) use. Fruit Loops develops large buds with deep green leaves and orange pistils. It also produces some purple coloring from Blue Dream and Blueberry, especially if exposed to cold temperatures late in the growing cycle. Growers can expect good yields, especially when growing outdoors or using SOG inside."
484,fruit-loops,"According to actor and comedian Seth Rogen, the Pineapple Express cultivar didn’t exist until after the 2008 movie of the same name brought the name into the spotlight. Inspired by the film, growers took it upon themselves to create a potent cultivar that the film described as “the dopest dope.” G13 Labs claims it originated the strain in the mid-2000s, selecting Trainwreck and Hawaiian as parent genetics, and the hybrid soon proliferated among California medical marijuana dispensaries. However, many growers and 11 seed banks each aimed to create the “true” Pineapple Express. As such, multiple variations exist in the current marketplace. Despite the nebulous marketing and inconsistent reported effects, most cuts of Pineapple Express are sought-after cultivars noted for their fluffy, lean flowers that shine with a lime and yellow coloring. Consumers select Pineapple Express for a tropical, citrus aroma that exudes from its typically higher limonene content. Growers will have an easy time growing Pineapple Express indoors, and can expect a high yield between 55-65 days."
485,pineapple-express,"When most people think of black ice they think of the slippery substance that plagues parking lots when it's cold — this strain offers no such unpleasantness. Black Ice was originally cultivated by Spain-based The Moon Seeds as a cross between Black Domina and White Widow. The buds feature aromatic notes of sour-sweet berries coupled with earthy undertones. As an Indica-dominant hybrid with anywhere between 19-24% THC content, Black Ice delivers a heavy calming effect and is best enjoyed during the evening. Black Ice has an indoor flowering time of 55-60 days, while outdoor growers will likely be able to harvest by the end of September or early October. Though exact amounts are unknown, some online sources report medium-to-high yields."
486,black-ice,"Medihaze, sometimes called Medi Haze, MediHaze, or CBD Medi Haze, is a mystery cultivar thought to combine Super Silver Haze, Neville’s Haze, and a third, unknown CBD strain. The top reported aromas of the Medihaze strain are pepper, pine, and spices. It is said to taste of mint, herbs, pine, and earth. Medihaze develops into tall, lanky plants with thin branches. The strain prefers warm environments with slight humidity and plentiful sunshine. Medihaze flowers in 56 to 63 days indoors and mid-October outside. It is capable of producing up a big harvest to 22 ounces of flower per plant in ideal conditions. Medihaze is unavailable as seeds or clones."
487,medihaze,"Brian Berry Cough was developed by legendary breeder TGA Subcool and his then wife MzJill. The story goes, MzJill crossed a Strawberry Cough variety named Kyle Kushman with Space Queen to develop a highly medicinal strain that would help her friend Brian manage the painful symptoms of his ALS. Tragically, Brian passed away two days after trying his namesake strain — Brian Berry Cough lives on as a potent cultivar known for its pain-soothing properties, and candy-fruit flavors. Brian Berry Cough grows into towering plants with large colas and heavy yields of hash-worthy buds. The cultivar flowers in 8-9 weeks inside and mid-October when grown outside."
488,brian-berry-cough,"Blue Buddha is the flavorful indica love child of Oregon Blueberry and Buddha’s Sister. Originating from B.C. Bud Depot in British Columbia, Blue Buddha hits the sweet spot of THC content at about 22%, making it accessible to new and seasoned users. The effects of Blue Buddha start out with an uptick in energy before winding down to a deep stoned feeling. Expected flavors of blueberry mingle with peppery spice and earthiness for a delicious hit. Blue Buddha is a flexible strain to grow, adapting well to indoor or outdoor environments. Indoor growers will witness flowering at 7 to 9 weeks but they should be aware that this strain sometimes carries a pungent odor that may be unpleasant. Good ventilation is essential, along with cutting just at the time of ripeness to protect Blue Buddha’s signature full-bodied flavor."
489,blue-buddha,"Lemon Banana Sherbet is a cross of Lemon Skunk and Sour Banana Sherbet. It’s one of a long line of fruity Sherbets from the breeders at Crockett Family Farms, now part of DNA Genetics. The strain features flavors of sour fruit and spicy-sweet aroma, according to sources online. The breeder no longer lists the strain on its website so it may be discontinued. Online growing reports suggest Lemon Banana Sherbet is a balanced hybrid that flowers in nine weeks and produces a high yield of dark green, orange-haired buds."
490,lemon-banana-sherbet,"Orange Diesel, also known as Agent D, is a strain of unconfirmed origins thought to be a combination of Agent Orange and Sour Diesel. Many breeders claim they originated the genetics, including Lady Sativa Genetics Seeds and TGA Seeds. Insane Seed Posse has its own version that combines TGA Seeds' Agent Orange with LSD. Consumers report Orange Diesel exudes a pungently sweet citrus aroma layered with diesel and chemical notes. Its flavor is a sweet, chemically-laden citrus with a skunk aftertaste. Orange Diesel is an easy-going, sativa-characteristic strain that grows well both indoors and outdoors. Even novice growers can get this strain to produce abundant yields with a little extra care, up to 21 ounces of flower per plant. Indoors, Orange Diesel flowers in nine to ten weeks, while outdoors, the strain reaches harvest in late October. Orange Diesel is available as seeds and clones."
491,orange-diesel,"True to its alcoholic beverage namesake, Mojito embodies a sweet-and-sour citrus scent with hints of mint. The strain was created by the team Swamp Boys Seeds, who crossed Limegerian and Orange Blossom Trail to garner its iconic minty-sweet flavor. Mojito produces small, round forest-green nugs with orange hairs and tiny golden amber crystal trichomes. The strain reaches full maturity in approximately 63 days when grown indoors and stretches to tall, lanky heights when planted outside. Growers can expect decent yields rom Mojito."
492,mojito,"Shoreline is a cross with roots in Texas, California (at a Grateful Dead concert at the Shoreline Amphitheater), and, of course, the Netherlands. Dutch Breeder Devil’s Harvest picked it up somewhere along the way and stabilized it. Shoreline is known as a very stinky strain so consumers are urged to take precautions if discretion is a concern. It’s said to have an old-school skunky, earthy aroma with some sweetness and pepper. The strain has a similar taste that can be harsh and induce coughing. Shoreline won second place in Best Cannabis at the 2012 High Times Cannabis Cup in Spain and third place in Skunk Strains at the 2018 Highlife Cup in Holland. Shoreline is a balanced hybrid that’s a cross between Sensi Skunk and Oasis. It produces plants in the six-foot range (1.8 meters) thanks to its mixed heritage. Shoreline has an average flowering time between 49 and 56 days and is known to produce high yields in ideal conditions. Shoreline is best grown indoors. Shoreline is available as seeds."
493,shoreline,"Panama Punch is a cultivar of mysterious origins thought to be a combination of Neville’s Haze and Panama Mean Green. Consumers report Panama Punch captures the pungent stink of its parents, with a strong citrus aroma and floral, tropical fruit notes. Its smoke is similarly nuanced, with sweet fruity flavors layered with spice. Panama Punch is a sativa-leaning hybrid with plants capable of reaching heights of over six feet. The strain does well indoors and outside, preferring a semi-humid climate with lots of light. Regular pruning will help with height management, and some structural support may be needed to hold up the weight of heavy buds. Growers who seek to show off Panama Punch’s purple coloring should expose their crops to cold nighttime temperatures right before the flowering phase. Panama Punch reaches full maturity in ten weeks indoors or in mid-October outside. Panama Punch is available as clones only."
494,panama-punch,"Banana Cookies is a cultivar of unconfirmed origins thought to be a combination of Sour Diesel and Platinum OG. The top reported aromas of the Banana Cookies strain are diesel, tropical fruit, and herbs. It is said to taste of diesel, sour fruit, and nuts. We are still on the hunt for information about this strain. Got a hot tip? Email us at strains@weedmaps.com. Banana Cookies is unavailable as seeds or clones."
495,banana-cookies,"Ethos Genetics created the Lilac Diesel strain in its home state of Colorado. It’s a combination of Silver Lemon Haze and Forbidden Fruit crossed with Citral Glue and Chem D I95 crossed with NYC Diesel and Cherry Pie. The breeder continues to develop the line so you may see Lilac Diesel BX2, BX3, etc. The top reported aromas of the original Lilac Diesel strain are fruits, berries, and mint. It is said to taste of fuel, berries, and spices. Lilac Diesel is unavailable as seeds or clones, though more recent backcrosses are readily available as seeds."
496,lilac-diesel,"The Dynasty Genetics team created the Platinum Huckleberry Cookies strain in 2014 by combining Platinum GSC with Oregon Huckleberry. The top reported aromas of Platinum Huckleberry Cookies are spices, herbs, florals, and berries. It is said to taste like vanilla, berries, menthol, and nuts. Platinum Huckleberry Cookies is an indica-dominant cultivar with broad fan leaves, squat bushes, and vibrant purple and orange colors. The strain produces substantial amounts of resin with tight internodal spacing and well-spread branches that allow for healthy yields. Platinum Huckleberry Cookies flowers in seven to nine weeks indoors and by late September outdoors. Platinum Huckleberry Cookies is available as seeds and clones."
497,platinum-huckleberry-cookies,"Versace is a cultivar of unknown origins, named to inspire the same opulent feeling as the eponymous luxury goods brand. The strain is believed to be a combination of Sour Diesel, OG Kush, and Grand Daddy Purple. The top reported aromas of the Versace strain are diesel, lemon, and hash. It is said to taste of berries, citrus, and earthy kush. Versace has little to no cultivation information publicly available. At full maturity, the plants produce densely packed, olive-green nugs with spindly orange hairs and amber trichomes. Versace’s pungency may require growers to employ odor-masking techniques to maintain a discreet garden. Versace is unavailable as seeds or clones."
498,versace,"The strain was bred by Washington’s Exotic Genetix by pollinating a Blackberry Kush female from Alien Genetics with pollen from an F2 Starfighter male. The end result combines the potency of its mother with the resin frostiness of its father. The strain has won several awards, including 1st place at the 2015 Dope Cup in Seattle. Kimbo Kush reportedly grows to a medium height, producing medium-to-heavy yields of large, fluffy, berry-flavored buds in a 50-to-56 day flowering cycle. It can be grown both indoors and outdoors, and responds well to topping."
499,kimbo-kush,"Grape Inferno was created by legendary breeder Subcool. He crossed his Querkle with a Nepali OG from Norstar Genetics. The top reported aromas of Grape Inferno are sweet grape, cherry, flowers, and earth. And it is said to taste like grapes, tropical fruit, and hash. Grape Inferno is an indica-dominant cross between Querkle and Nepali OG. It produces short, bushy plants thanks to its indica heritage. Grape Inferno has an average flowering time between 56 and 63 days and is known to produce high yields in ideal conditions indoors and tremendous yields outdoors when in the hands of an experienced grower. The strain grows well inside and out and should be topped several times. Grape Inferno is available as seeds."
500,grape-inferno,"The exact lineage and genetics of Bubble Gum remain a mystery. However, the strain’s history began in Indiana, where its original grower gave three different Bubble Gum plants to three Netherlands breeders — Adam of T.H. Seeds, and Cerebral Seeds’ Simon and Tony (who eventually split to form Serious Seeds and Sagarmatha Seeds, respectively). In the Netherlands, each breeder cultivated a slightly different Bubble Gum phenotype. Adam at T.H. Seeds describes his version as “mostly Indica,” while Simon at Cerebral Seeds considers his variation of the strain “mostly Sativa.” It’s said to emit a sweet, bubble gum fragrance and carry a prominent strawberry flavor when it comes from feminized seeds. Bubble Gum has won 13 awards, including 2nd at High Times Cannabis Cup in 1995, 1st Outdoor at Spannabis Cup in 2005, 1st Outdoor at Spannabis Cup in 2006 and 1st Hybrid at the 4th annual Jack Herer Cup in 2018. Today, both regular and feminized seeds are available from Serious Seeds, and Bubble Gum is the only inbred strain offered by the seed bank. Simon reports Bubble Gum seeds produce a stable, uniform grow of strong, sturdy plants with thick stems. It lists the strain as both an outdoor and indoor cultivar, with an indoor flowering time of 56-63 days."
501,bubble-gum,"While the creators of Black Cherry Cheesecake are a mystery, we do know that the strain was created in Oregon and it’s hard to find. It’s a three-way cross of Black Cherry Soda, Super Silver Haze, and Cheese. The top reported aromas of Black Cherry Cheesecake are sweet cherries, earth, and cheese. The taste is similar to the aroma with added herbal notes though it can be harsh. Black Cherry Cheesecake is an indica-dominant cross between Black Cherry Soda, Super Silver Haze, and Cheese. It produces short, compact plants that respond well to Sea of Green (SOG) thanks to its indica heritage. Black Cherry Cheesecake has an average flowering time between 49 and 63 days indoors and late October outdoors in the Northern Hemisphere. It’s known to produce low yields of gorgeous purple buds, especially if they’re exposed to cooler temperatures late in the growing cycle. The hardy strain grows well indoors and outdoors. Black Cherry Cheesecake is not available as seeds or clones."
502,black-cherry-cheesecake,"Sun Ra first appeared in the Denver-based garden of Colorado Seed Inc, so named for the American Jazz musician and the ancient Egyptian god of the sun. The cultivar is a combination of Sunburn and Rebel God Smoke: proprietary strains created by the breeders. The top reported aromas of the Sun Ra strain are citrus, earth, and skunk. And it is said to taste like fruit, pineapple, and diesel. Little growing information is available on Sun Ra. It is an indica-leaning hybrid, developing slightly shorter plants with faster flowering time. Sun Ra thrives in both indoor and outdoor gardens, preferring a humid, warmer climate. The cultivar reaches full maturity in eight weeks or late September outdoors. Sun Ra is unavailable as seeds or clones."
503,sun-ra,"New420Guy Seeds created Blackberry Diesel as a combination of Blackberry Kush and Sour Diesel. However, other online sources claim the breeder used Plushberry and Sour Diesel as the parent strains. The top reported aromas of the Blackberry Diesel strain are diesel, berries, and earth. It is said to taste of fuel, spices, and tart berries. Blackberry Diesel is a sativa-characteristic strain with tall plants, stretching stalks, and a preference for warmer, Mediterranean-like climates. The strain thrives in both indoor and outdoor settings, preferring the help of growing techniques such as the Screen of Green (ScROG) method in the former. Indoors, Blackberry Diesel flowers in 70 to 94 days, while outdoor gardens reach maturity in early November. The strain is a moderate producer, developing approximately 16 ounces of bud per plant. Blackberry Diesel is unavailable as seeds or clones."
504,blackberry-diesel,"Super Sour Diesel is a sativa that was created when breeders at Reservoir Seeds pollinated a Super Silver Haze female with pollen from Sour Diesel. This uplifting strain has been reported to give user's energizing effects, with a pungent, gassy aroma. This sativa is great during the daytime when you're socializing, doing creative activities, or even enjoying the outdoors. Super Sour Diesel won the first place at the IC420 Growers Cup in both 2009 and 2010. Super Sour Diesel F1 hybrid seeds were only released once, so phenotypes are likely to be available as clones, though it’s possible a limited amount of seeds may be idling in a collector’s chest. Advanced indoor and outdoor breeders can nurture the strain to heights of more than 6 feet, and it develops long, thin leaves for which Sativa plants are known. The best indoor yields are reported to result from a gentle touch, using Sea of Green (SOG) methods and other low-stress training techniques. With training, the plant is reported to produce between 1.25 to 1.75 pounds of flower per 1,000 watts of light."
505,super-sour-diesel,"Oregon-based TKO Reserve created Red Velvet Pie as a combination of Cherry Pie and Burmese Thai. The top reported aromas of the Red Velvet Pie strain are diesel, cherries, and berries. It is said to taste of chocolate, cream, and cherries. Red Velvet pie is an evenly balanced hybrid that’s a combination of Cherry Pie and Burmese Thai. It produces medium-sized plants thanks to its mixed heritage. Red Velvet Pie has an average flowering time between 56 and 63 days indoors and October outdoors. It is known to produce large-to-average-sized yields in ideal conditions. Red Velvet Pie is reportedly easy to grow and does well indoors and out, though a temperate climate is best outside. Red Velvet Pie is unavailable as seeds or clones."
506,red-velvet-pie,"I-95 is a cross of Triangle with an unnamed pairing of Legend OG and Stardawg IX2. It was created in Washington by Top Dawg Genetics. The top reported aromas of I-95 include pungent earth, fuel, and sour pine. It tastes similar with a harsh, sour, chemical flavor. I-95 is a balanced hybrid that’s a cross between Triangle and an unnamed pairing of Legend OG and Stardawg IX2. I-95 hasn’t been released as seeds so cultivation details are scarce. I-95 is not available as seeds or clones."
507,i-95,"Chocolate Glue by Third Eye Genetics is a combination of GG#4 (formerly Gorilla Glue #4) and Chocolate Lava. The top reported aromas of the Chocolate Glue strain are hash, spices, and fruit. It is said to taste of pine, wood, and earth. Chocolate Glue is an indica-dominant strain known for producing tall plants that require occasional pruning. The strain prefers a temperate, slightly humid climate and thrives in both indoor and outdoor gardens. Chocolate Glue flowers in 63 to 70 days indoors and reaches maturity outdoors in early to mid-October. Chocolate Glue is unavailable as seeds or clones."
508,chocolate-glue,"Conspiracy Kush is a hybrid created in California by Subcool from Obama Kush and Space Queen. It's reported to have 19% THC and very low CBD with a fruity, spicy aroma and tart, funky taste. Conspiracy Kush has been described as having an initial cerebral high, followed by by a relaxing euphoric feeling that spreads through the rest of the body. Sources online suggest Conspiracy Kush can grow up to six feet tall. It flowers in about 8-9 weeks indoors or late September to early October outdoors in the Northern Hemisphere. This strain grows equally well indoors or outdoors and delivers average yields with slightly higher production outdoors."
509,conspiracy-kush,"Willie Nelson is an F1 hybrid of Vietnamese Black and Highland Nepali created by breeder Reeferman Genetics. The cultivar was reportedly named for the famous country singer because it’s his flower of choice, though this is unconfirmed. According to Pacific Seed Bank, Willie Nelson features sweet, woodsy, and citrus flavor profile along with averages of 22% THC and 3-10% CBD. The strain won first place for Best Sativa at the High Times’ Cannabis Cup in 2005. Willie Nelson grows tall and is easy to cultivate indoors and outside, flowering in 10-12 weeks inside or late November outdoors, according to Seedsman seed bank. The hardy strain resists most pests and diseases, according to the breeder. The short, bushy colas sport light green foliage and a dense covering of white trichomes and curly orange pistils. Willie Nelson delivers high yields, according to Pacific Seed Bank."
510,willie-nelson,"Golden Ticket (aka Mr. Dank’s Golden Ticket) is a Sativa-dominant strain resulting from a cross between a Golden Goat clone and a Faceoff OG male from Oregon’s Archive Seed Bank. Its effects reportedly include an intense, cerebral rush and creeping, full-body relaxation. Note that TGA Genetics has a phenotype of the Chernobyl strain also named Golden Ticket, which differs from Archive’s version. The strain typically grows tall with heavy yields of dense, tightly structured colas in a 70-day flowering period. It’s reportedly easy to grow both indoors and outdoors, and responds particularly well to Sea of Green (SOG) and Screen of Green (ScrOG) grow methods."
511,golden-ticket,"Face Off OG is a phenotype of OG Kush that was selected after cultivating seeds from a hermaphrodite OG Kush. The strain originated in Southern California in the late ’90s, according to its Oregon breeder, Archive Seed Bank. After receiving a half-dozen Face Off OG seeds from California, Archive breeders reportedly selected the #4 seed for its distinct flavor and intense head-high. The strain is recommended for its foggy effects and for pain relief. In addition, Archive used a backcrossed Face Off OG phenotype to breed several hybrids, including Do-Si-Dos and Oregon Lemons. Archive now carries a second backcrossing of Face Off OG in regular, non-feminized seed form. The seed bank reports the strain grows moderately tall and flowers in 63 days."
